תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %
30.12.2022,3.5177,3.509,3.5277,3.496,,0.16%
29.12.2022,3.5122,3.5375,3.5426,3.5074,,-0.75%
28.12.2022,3.5389,3.5067,3.5411,3.492,,0.83%
27.12.2022,3.5096,3.4942,3.5205,3.4859,,0.44%
26.12.2022,3.4941,3.5025,3.5056,3.489,,-0.17%
23.12.2022,3.5,3.4923,3.5053,3.48,,0.26%
22.12.2022,3.4908,3.4652,3.5034,3.4479,,0.82%
21.12.2022,3.4625,3.4623,3.4805,3.4595,,0.00%
20.12.2022,3.4625,3.4557,3.4721,3.4496,,0.20%
19.12.2022,3.4557,3.46,3.4637,3.4296,,-0.07%
16.12.2022,3.458,3.4226,3.4645,3.4214,,1.18%
15.12.2022,3.4176,3.3968,3.4501,3.395,,0.64%
14.12.2022,3.3957,3.4006,3.4198,3.388,,-0.24%
13.12.2022,3.4039,3.4306,3.444,3.3837,,-0.77%
12.12.2022,3.4302,3.4253,3.4425,3.4113,,0.11%
09.12.2022,3.4263,3.4245,3.4295,3.4125,,0.05%
08.12.2022,3.4246,3.4299,3.4463,3.4217,,-0.15%
07.12.2022,3.4299,3.4227,3.4454,3.4188,,0.10%
06.12.2022,3.4264,3.4,3.4305,3.3949,,0.78%
05.12.2022,3.4,3.4004,3.4105,3.3797,,0.13%
02.12.2022,3.3955,3.3904,3.4203,3.3716,,0.17%
01.12.2022,3.3899,3.428,3.4291,3.3844,,-0.52%
30.11.2022,3.4076,3.4357,3.4515,3.4061,,-0.82%
29.11.2022,3.4357,3.4425,3.4448,3.4225,,-0.22%
28.11.2022,3.4434,3.4203,3.4476,3.4192,,0.68%
25.11.2022,3.4203,3.4171,3.4303,3.4062,,0.13%
24.11.2022,3.416,3.4213,3.4312,3.4102,,-0.20%
23.11.2022,3.4228,3.4668,3.4682,3.4143,,-1.23%
22.11.2022,3.4654,3.4724,3.487,3.4584,,-0.16%
21.11.2022,3.4711,3.4663,3.4887,3.4595,,-0.02%
18.11.2022,3.4719,3.4664,3.481,3.449,,0.18%
17.11.2022,3.4658,3.428,3.479,3.4132,,1.19%
16.11.2022,3.4251,3.4099,3.4384,3.3982,,0.46%
15.11.2022,3.4094,3.4261,3.4405,3.3971,,-0.48%
14.11.2022,3.426,3.4113,3.4378,3.4113,,0.49%
11.11.2022,3.4093,3.4746,3.4769,3.4056,,-1.81%
10.11.2022,3.4723,3.5459,3.5658,3.4687,,-2.08%
09.11.2022,3.546,3.5276,3.5528,3.5235,,0.48%
08.11.2022,3.529,3.5388,3.5535,3.5234,,-0.16%
07.11.2022,3.5346,3.546,3.5549,3.5263,,-0.32%
04.11.2022,3.546,3.5756,3.5784,3.5286,,-0.83%
03.11.2022,3.5756,3.5547,3.5818,3.5534,,0.81%
02.11.2022,3.5467,3.5335,3.5501,3.5095,,0.44%
01.11.2022,3.5313,3.5202,3.5396,3.5046,,0.28%
31.10.2022,3.5214,3.5314,3.5448,3.515,,-0.27%
28.10.2022,3.5311,3.5169,3.5502,3.5094,,0.34%
27.10.2022,3.5193,3.4872,3.5271,3.4811,,0.96%
26.10.2022,3.486,3.5157,3.5316,3.4835,,-0.81%
25.10.2022,3.5145,3.5518,3.5584,3.5105,,-0.95%
24.10.2022,3.5482,3.5224,3.5684,3.5223,,0.56%
21.10.2022,3.5284,3.548,3.5831,3.527,,-0.55%
20.10.2022,3.5478,3.536,3.5539,3.5262,,0.36%
19.10.2022,3.5349,3.5221,3.548,3.5185,,0.35%
18.10.2022,3.5227,3.517,3.5366,3.5024,,0.21%
17.10.2022,3.5154,3.5474,3.5524,3.5104,,-0.97%
14.10.2022,3.5498,3.5456,3.5656,3.5153,,0.12%
13.10.2022,3.5455,3.5578,3.6022,3.5454,,-0.35%
12.10.2022,3.5579,3.576,3.5788,3.5545,,-0.49%
11.10.2022,3.5755,3.5604,3.5954,3.5515,,0.49%
10.10.2022,3.558,3.54,3.5786,3.5253,,0.47%
07.10.2022,3.5413,3.5271,3.5495,3.5115,,0.36%
06.10.2022,3.5285,3.5205,3.5455,3.5055,,0.09%
05.10.2022,3.5255,3.5021,3.5481,3.5,,0.71%
04.10.2022,3.5006,3.5362,3.5431,3.4992,,-1.01%
03.10.2022,3.5363,3.5601,3.6149,3.535,,-0.74%
30.09.2022,3.5628,3.5553,3.5754,3.5359,,0.17%
29.09.2022,3.5566,3.5116,3.5732,3.5088,,1.11%
28.09.2022,3.5174,3.5307,3.5506,3.506,,0.37%
27.09.2022,3.5043,3.5163,3.5165,3.4929,,-0.33%
26.09.2022,3.5159,3.5053,3.5362,3.503,,0.49%
23.09.2022,3.4986,3.4854,3.5143,3.4753,,0.33%
22.09.2022,3.487,3.4658,3.494,3.4516,,0.65%
21.09.2022,3.4645,3.4468,3.4683,3.4394,,0.53%
20.09.2022,3.4461,3.4375,3.4578,3.43,,0.23%
19.09.2022,3.4382,3.4275,3.457,3.4275,,0.44%
16.09.2022,3.4232,3.4395,3.4508,3.4205,,-0.36%
15.09.2022,3.4356,3.4225,3.4481,3.4163,,0.45%
14.09.2022,3.4203,3.4345,3.4411,3.4115,,-0.53%
13.09.2022,3.4385,3.3635,3.4431,3.3452,,2.21%
12.09.2022,3.3641,3.4077,3.4084,3.3601,,-1.26%
09.09.2022,3.407,3.4347,3.4354,3.4037,,-0.83%
08.09.2022,3.4354,3.4226,3.4483,3.4091,,0.39%
07.09.2022,3.4222,3.4161,3.4454,3.4125,,0.22%
06.09.2022,3.4148,3.4074,3.4305,3.389,,0.22%
05.09.2022,3.4074,3.3905,3.4214,3.3869,,0.92%
02.09.2022,3.3764,3.3785,3.401,3.364,,-0.07%
01.09.2022,3.3786,3.3277,3.4054,3.3219,,1.51%
31.08.2022,3.3283,3.3267,3.3418,3.3106,,0.05%
30.08.2022,3.3266,3.3179,3.3297,3.2976,,0.33%
29.08.2022,3.3157,3.2956,3.3303,3.2952,,0.97%
26.08.2022,3.2837,3.2651,3.2869,3.2417,,0.57%
25.08.2022,3.265,3.2692,3.291,3.2549,,-0.14%
24.08.2022,3.2696,3.2609,3.2848,3.2589,,0.26%
23.08.2022,3.2612,3.2924,3.3027,3.2512,,-0.93%
22.08.2022,3.2917,3.2693,3.2987,3.2576,,0.71%
19.08.2022,3.2686,3.2464,3.2804,3.2435,,0.72%
18.08.2022,3.2453,3.245,3.2561,3.235,,0.02%
17.08.2022,3.2448,3.258,3.2622,3.239,,-0.28%
16.08.2022,3.2538,3.268,3.2898,3.2467,,-0.50%
15.08.2022,3.2703,3.2226,3.2809,3.2202,,1.08%
12.08.2022,3.2352,3.24,3.252,3.2304,,-0.28%
11.08.2022,3.2444,3.2594,3.2646,3.2251,,-0.41%
10.08.2022,3.2579,3.3113,3.3263,3.2496,,-1.65%
09.08.2022,3.3124,3.3067,3.3236,3.2937,,0.16%
08.08.2022,3.3071,3.3473,3.3527,3.3036,,-1.27%
05.08.2022,3.3495,3.3334,3.3547,3.3212,,0.61%
04.08.2022,3.3292,3.3502,3.3588,3.3286,,-0.90%
03.08.2022,3.3596,3.3703,3.3732,3.355,,-0.31%
02.08.2022,3.3702,3.3701,3.3815,3.3547,,0.07%
01.08.2022,3.368,3.399,3.3995,3.3535,,-0.85%
29.07.2022,3.3968,3.4066,3.4136,3.3771,,-0.17%
28.07.2022,3.4025,3.4096,3.4368,3.4025,,-0.33%
27.07.2022,3.4138,3.4476,3.45,3.4037,,-0.94%
26.07.2022,3.4463,3.4371,3.4493,3.4256,,0.23%
25.07.2022,3.4384,3.4429,3.4525,3.4259,,0.02%
22.07.2022,3.4377,3.441,3.4531,3.4324,,-0.10%
21.07.2022,3.441,3.4369,3.4603,3.4315,,0.11%
20.07.2022,3.4373,3.436,3.451,3.4267,,0.08%
19.07.2022,3.4345,3.4446,3.4522,3.4299,,-0.38%
18.07.2022,3.4475,3.4627,3.464,3.4351,,-0.28%
15.07.2022,3.4573,3.4937,3.4983,3.456,,-1.04%
14.07.2022,3.4937,3.4552,3.5082,3.4548,,1.11%
13.07.2022,3.4552,3.4788,3.4844,3.4509,,-0.79%
12.07.2022,3.4827,3.4831,3.5045,3.4655,,-0.01%
11.07.2022,3.4829,3.4578,3.492,3.4578,,0.74%
08.07.2022,3.4572,3.4672,3.4908,3.4528,,-0.32%
07.07.2022,3.4683,3.4926,3.4964,3.4629,,-0.69%
06.07.2022,3.4924,3.5053,3.5268,3.4805,,-0.40%
05.07.2022,3.5065,3.5,3.5383,3.4927,,0.19%
04.07.2022,3.4999,3.5288,3.5325,3.4909,,-0.68%
01.07.2022,3.5237,3.494,3.547,3.4875,,0.82%
30.06.2022,3.4949,3.4552,3.5157,3.4535,,1.12%
29.06.2022,3.4563,3.4358,3.462,3.4311,,0.59%
28.06.2022,3.436,3.4141,3.4421,3.4109,,0.59%
27.06.2022,3.4159,3.4095,3.4289,3.3899,,0.23%
24.06.2022,3.4081,3.4459,3.4504,3.3915,,-1.15%
23.06.2022,3.4477,3.4361,3.4623,3.4336,,0.33%
22.06.2022,3.4364,3.4492,3.478,3.4316,,-0.39%
